user_id,start_time,end_time,trip_id,mode_prime,tokens
6424012,17:00:00,17:14:45,6424012_17:14:45,D,323.67
1606051,20:45:00,20:50:27,1606051_20:50:27,D,151.6
6390071,09:25:00,09:30:38,6390071_9:30:38,D,166.93
2989162,09:00:00,09:04:57,2989162_9:04:57,D,102.94
4142101,12:15:00,12:24:17,4142101_12:24:17,D,55.51
2802161,11:00:00,11:02:55,2802161_11:02:55,D,126
3041772,09:30:00,09:34:51,3041772_9:34:51,D,117.68
2826592,15:30:00,15:38:29,2826592_15:38:29,D,62.45
2687181,09:15:00,09:18:09,2687181_9:18:09,D,135.98
1324031,13:45:00,13:55:17,1324031_13:55:17,D,248.31
5757203,18:15:00,18:23:55,5757203_18:23:55,D,273.38
1532801,16:30:00,16:41:18,1532801_16:41:18,D,161.75
6101181,22:30:00,22:46:01,6101181_22:46:01,D,585.07
6037541,10:30:00,10:33:31,6037541_10:33:31,D,89.55
4350651,14:00:00,14:04:10,4350651_14:04:10,D,90.14
1476821,19:15:00,19:19:46,1476821_19:19:46,D,55.3
2248471,11:30:00,11:34:49,2248471_11:34:49,D,178.58
2549522,16:35:00,16:42:07,2549522_16:42:07,D,105.94
4463961,09:00:00,09:07:24,4463961_9:07:24,D,195.54
1557921,18:00:00,18:04:52,1557921_18:04:52,D,121.25
